# BEAST v1.10.5 Prerelease #23570d1
# Generated Thu Jun 16 17:07:33 PDT 2022 [seed=2020]
# -seed 2020 -beagle_double -beagle_gpu -save_every 1000000 -save_state Beast.chkpt -overwrite Sn_H1N1pdm_2009.xml
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	exponential.popSize	exponential.growthRate	kappa	frequencies1	frequencies2	frequencies3	frequencies4	alpha	clock.rate	meanRate	treeLikelihood	branchRates	coalescent
0	-42819.61001831922	-64.58286606640621	-42755.02715225281	3.743927158570325	2005.6590728414296	12.644715298492304	1.0	0.0	2.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.5	1.0	1.0	-42755.02715225281	0.0	-49.490490529741834
100	-42422.8524460237	-62.63308249237464	-42360.21936353133	3.5500907467933924	2005.8529092532067	12.163730308518693	1.0	-0.4071996404320375	2.0	0.257148645828154	0.242851354171846	0.2500000001	0.2499999999	0.5	1.0	1.0	-42360.21936353133	0.0	-47.998229565962305
200	-40031.54782874924	-55.8667128375682	-39975.68111591167	3.170983470040742	2006.2320165299593	11.22121235524344	0.9743693647581586	-0.4071996404320375	2.626593287274194	0.257148645828154	0.242851354171846	0.2500000001	0.2499999999	0.5	0.7565865858587904	0.7565865858587906	-39975.68111591167	0.0	-44.453905256081576
300	-32626.56157636501	-47.648351318229935	-32578.91322504678	2.50620808617611	2006.896791913824	9.26246654234208	0.9690681586344521	-0.4071996404320375	2.626593287274194	0.26124695907595924	0.2364596561113767	0.2500000001	0.25229338471266405	0.2873531998361927	0.5740608576042192	0.5740608576042191	-32578.91322504678	0.0	-39.72671343879509
400	-31789.28493362635	-42.98106618094091	-31746.303867445407	2.0332263946405633	2007.3697736053596	8.192029084189949	0.9690681586344521	0.15991507858332699	2.626593287274194	0.26124695907595924	0.2364596561113767	0.2500000001	0.25229338471266405	0.2873531998361927	0.5060520836442117	0.506052083644212	-31746.303867445407	0.0	-36.235170775853916
500	-30796.220614474278	-42.201091199486385	-30754.01952327479	1.7929468916614855	2007.6100531083384	7.6225813389758335	1.010111829226205	0.038821256556123895	2.626593287274194	0.26124695907595924	0.2364596561113767	0.2500000001	0.25229338471266405	0.25549054182902775	0.5060520836442117	0.5060520836442116	-30754.01952327479	0.0	-36.16850417088009
600	-29764.67557317865	-39.879478555727935	-29724.79609462292	1.5889587629672777	2007.8140412370328	7.1394644764986115	1.0037286453899799	-0.10709612794038748	2.626593287274194	0.26124695907595924	0.2364596561113767	0.2500000001	0.25229338471266405	0.25549054182902775	0.3913399851104874	0.3913399851104873	-29724.79609462292	0.0	-35.05565448373117
700	-28413.282628621993	-36.49403032091263	-28376.788598301082	0.837128752328949	2008.565871247671	5.277820184065888	0.9740506672405178	-0.02825168357943353	3.4870705266744895	0.26124695907595924	0.2364596561113767	0.2500000001	0.25229338471266405	0.25549054182902775	0.3483834842451039	0.34838348424510374	-28376.788598301082	0.0	-31.924797252847895
800	-28124.958668321757	-31.790093188531856	-28093.168575133226	0.837128752328949	2008.565871247671	4.861495836955569	0.9452927173485857	-0.02825168357943353	4.395891544212644	0.2610951052542487	0.22993869796168048	0.25667281207140674	0.25229338471266405	0.25549054182902775	0.3483834842451039	0.34838348424510385	-28093.168575133226	0.0	-25.85835477461902
900	-27620.847667114787	-23.22550006851269	-27597.622167046276	0.8273476951542351	2008.5756523048458	4.715332530089437	0.9881973385570635	2.7882054837115233	4.395891544212644	0.2610951052542487	0.22993869796168048	0.25667281207140674	0.25229338471266405	0.25549054182902775	0.3034435370102979	0.30344353701029797	-27597.622167046276	0.0	-19.021551427202574
1000	-26016.246748100908	-16.0604332854136	-26000.186314815495	0.5788729993670458	2008.8241270006329	3.5216474979760832	1.0137238730479445	2.7882054837115233	4.395891544212644	0.2610951052542487	0.22993869796168048	0.25667281207140674	0.25229338471266405	0.25549054182902775	0.22861037981349372	0.22861037981349366	-26000.186314815495	0.0	-12.42926101480354
1100	-25377.34833525058	-11.857242350106993	-25365.491092900473	0.5788729993670458	2008.8241270006329	3.343741538966513	1.0137238730479445	3.413786195638245	4.395891544212644	0.2610951052542487	0.22946144185155237	0.25715006818153485	0.25229338471266405	0.25549054182902775	0.1896385705567704	0.1896385705567704	-25365.491092900473	0.0	-8.458327397670738
1200	-23768.39170162981	-7.339857266456157	-23761.051844363355	0.5385954959500665	2008.8644045040498	3.1812231043740997	1.0011124000113396	4.69436638456231	4.395891544212644	0.2610951052542487	0.22946144185155237	0.25715006818153485	0.25229338471266405	0.25549054182902775	0.10138593055369068	0.10138593055369066	-23761.051844363355	0.0	-4.633108146350189
1300	-23587.23453829306	-3.78793302114223	-23583.446605271918	0.46690180881001353	2008.93609819119	2.9681432793388525	1.0011124000113396	5.555686350383265	4.395891544212644	0.2610951052542487	0.22946144185155237	0.25715006818153485	0.25229338471266405	0.23277595766217204	0.10138593055369068	0.10138593055369066	-23583.446605271918	0.0	-1.1049385920499608
1400	-23365.23157346742	-1.4072897867172025	-23363.824283680704	0.37970834562296407	2009.023291654377	2.693845223330865	0.9969992561835396	5.555686350383265	4.395891544212644	0.2610951052542487	0.22946144185155237	0.25715006818153485	0.25229338471266405	0.23277595766217204	0.10138593055369068	0.10138593055369065	-23363.824283680704	0.0	1.2961541296337522
1500	-22908.311211683256	4.274620886951143	-22912.585832570207	0.26203490130023227	2009.1409650986998	2.2718405228810474	1.0016339490693678	6.939725985500388	4.395891544212644	0.2610951052542487	0.22946144185155237	0.25715006818153485	0.25229338471266405	0.16781115181846057	0.10138593055369068	0.1013859305536907	-22912.585832570207	0.0	6.905839962120616
1600	-22129.480066106757	6.918959374888695	-22136.399025481645	0.25331875547398863	2009.149681244526	2.245938936098097	1.0016339490693678	8.240012261199102	7.535133940956975	0.2610951052542487	0.22946144185155237	0.25715006818153485	0.25229338471266405	0.16781115181846057	0.054006800593131024	0.054006800593131045	-22136.399025481645	0.0	9.942589595569313
1700	-21664.51730001061	11.18646935471304	-21675.703769365326	0.2511259887572393	2009.1518740112429	2.2486835604219517	1.0016339490693678	11.844496355249612	7.36591412905722	0.27861379391665847	0.2119427531891426	0.25715006818153485	0.25229338471266405	0.16781115181846057	0.03111784970267916	0.031117849702679168	-21675.703769365326	0.0	13.881178259824951
1800	-21569.486693544866	6.725340546794176	-21576.21203409166	0.2414621394395001	2009.1615378605604	2.269819987999919	1.0259801786194707	14.42240201780297	8.022920543237635	0.30021647536068496	0.2119427531891426	0.23554738673750836	0.25229338471266405	0.12226949135967789	0.031012270643583452	0.031012270643583455	-21576.21203409166	0.0	9.845504641871482
