dirID,site_name,airbasin_name,airbasin,facility,city,county,terrain,waterproximity,popdensity,lat,lon,attr.label,site_name,centerlon,centerlat,UTM,x,y,lon1,lat1,x1,y1,lon2,lat2,x2,y2,lon3,lat3,x3,y3,lon4,lat4,x4,y4
1,Arcata_WWTF,NC,North Coast,Arcata WWTF,Arcata,Humboldt,hilly or mountainous,coastal,1894.159779,40.85562,-124.090124,hilly or mountainous-coastal-low,Arcata_WWTF,40.85562,-124.090124,10,408118.3227,4523301.536,-124.1252537,40.82825793,405118.3227,4520301.536,-124.0541083,40.82892998,411118.3227,4520301.536,-124.0549654,40.88297159,411118.3227,4526301.536,-124.1261686,40.88229828,405118.3227,4526301.536
2,Atwater_WWTF,SJ,San Joaquin Valley,Atwater WWTF,Atwater,Merced,flat,inland,4627.282563,37.276403,-120.63169,flat-inland-high,Atwater_WWTF,37.276403,-120.63169,10,709973.7762,4128164.559,-120.6663357,37.25005539,706973.7762,4125164.559,-120.5987382,37.24870311,712973.7762,4125164.559,-120.5970202,37.30273951,712973.7762,4131164.559,-120.664666,37.30409443,706973.7762,4131164.559
3,BakersfieldWWTP2,SJ,San Joaquin Valley,Bakersfield WWTP #2,Bakersfield,Kern,flat,inland,2444.233179,35.32572,-118.973238,flat-inland-low,BakersfieldWWTP2,35.32572,-118.973238,11,320643.3567,3910951.393,-119.0055577,35.29814262,317643.3567,3907951.393,-118.939604,35.29921871,323643.3567,3907951.393,-118.9408964,35.35328933,323643.3567,3913951.393,-119.006894,35.3522111,317643.3567,3913951.393
4,Calexico_WPCP,SS,Salton Sea,Calexico WPCP,Calexico,Imperial,flat,inland,4596.712369,32.671926,-115.505188,flat-inland-high,Calexico_WPCP,32.671926,-115.505188,11,640160.2969,3615904.715,-115.5376146,32.64524926,637160.2969,3612904.715,-115.4736626,32.64448785,643160.2969,3612904.715,-115.4727421,32.69859368,643160.2969,3618904.715,-115.5367327,32.69935667,637160.2969,3618904.715
5,Corona_WWTP1,SC,South Coast,Corona WWTP #1,Corona,Riverside,hilly or mountainous,inland,3924.589341,33.927683,-117.604756,hilly or mountainous-inland-high,Corona_WWTP1,33.927683,-117.604756,11,444104.4179,3754302.31,-117.6370111,33.90046387,441104.4179,3751302.31,-117.5721185,33.90078234,447104.4179,3751302.31,-117.5724804,33.95489379,447104.4179,3757302.31,-117.6374141,33.95457467,441104.4179,3757302.31
6,Dublin_WWTP,SF,San Francisco Bay,Dublin San Ramon Services District Regional WWTP,Pleasanton,Alameda,hilly or mountainous,inland,2914.846435,37.68713,-121.915158,hilly or mountainous-inland-low,Dublin_WWTP,37.68713,-121.915158,10,595650.9153,4171656.001,-121.9495589,37.66040243,592650.9153,4168656.001,-121.8815447,37.65977708,598650.9153,4168656.001,-121.8807324,37.71384702,598650.9153,4174656.001,-121.948796,37.71447359,592650.9153,4174656.001
7,El_Dorado_WPP,MC,Mountain Counties,El Dorado Hills Reclamation Plant,El Dorado Hills,El Dorado,hilly or mountainous,inland,902.4,38.637366,-121.060204,hilly or mountainous-inland-low,El_Dorado_WPP,38.637366,-121.060204,10,668831.5349,4278320.816,-121.0953699,38.61091151,665831.5349,4275320.816,-121.0264952,38.60976979,671831.5349,4275320.816,-121.0250123,38.66380913,671831.5349,4281320.816,-121.0939387,38.66495304,665831.5349,4281320.816
8,Fairfield_Suisan,SF,San Francisco Bay,Fairfield-Suisan Sewer District,Fairfield,Solano,flat,coastal,2816.83086,38.222534,-122.078372,flat-coastal-low,Fairfield_Suisan,38.222534,-122.078372,10,580672.1725,4230907.556,-122.1129694,38.19576359,577672.1725,4227907.556,-122.0444568,38.19522595,583672.1725,4227907.556,-122.0437492,38.24929376,583672.1725,4233907.556,-122.1123126,38.24983243,577672.1725,4233907.556
9,Fresno-Clovis,SJ,San Joaquin Valley,Fresno/Clovis Regional Wastewater Reclamation,Fresno,Fresno,flat,inland,4418.361524,36.702497,-119.893086,flat-inland-high,Fresno-Clovis,36.702497,-119.893086,11,241553.5368,4065771.856,-119.9256048,36.67466712,238553.5368,4062771.856,-119.8585409,36.67629715,244553.5368,4062771.856,-119.8605438,36.7303189,244553.5368,4068771.856,-119.9276545,36.72868567,238553.5368,4068771.856
10,Healdsburg_WRF,NC,North Coast,Healdsburg WRF,Healdsburg,Sonoma,hilly or mountainous,inland,2525.088958,38.583622,-122.862719,hilly or mountainous-inland-low,Healdsburg_WRF,38.583622,-122.862719,10,511956.7612,4270581.254,-122.8972018,38.55662131,508956.7612,4267581.254,-122.8283391,38.55654059,514956.7612,4267581.254,-122.8282103,38.61061235,514956.7612,4273581.254,-122.8971247,38.61069323,508956.7612,4273581.254
