community,children,sex,age,treatment,deaths,persontime
ABOUJA:TOULLOU MAIMASSA:LOGA-2,136,0.55147058,30.617647,1,6,85002.5
ADABEY:KOURO BERI:LOGA-1,119,0.50420171,28.831932,0,4,67180.5
ALFA KOIRA (GUILLADJE):GUILLADJE:BOBOYE-2,165,0.5030303,30.315151,0,8,120097.5
ALFA KOIRA (KOTAKI):KOTAKI:BOBOYE-4,63,0.36507937,29.968254,0,7,106894.5
ALFABIRE MOUMOUNI:HARIKANASSOU:BOBOYE-3,85,0.63529414,35.564705,1,2,66596
ALFAGAI KOTAKI:TEGUEZE KOIRA:LOGA-2,98,0.52040815,28.938776,1,6,64161.5
ALFAGUEY (gayey):LOGA:LOGA-2,198,0.57575756,31.722221,0,11,162227
ALFAGUEY:KOSSEY:LOGA-1,24,0.66666669,29.041666,0,0,18727
ALHER (ALGER):SARGADJI:LOGA,91,0.52747256,34.0989,0,5,72964.5
ALKAWAL ZERMA:KOURINGUEL:BOBOYE-4,97,0.50515461,31.876289,1,2,71785
ALLEROU:GUILLADJE:BOBOYE-2,97,0.49484536,31.659794,1,3,61213.5
ALLOUGUEL KOIRA TEGUI:SABOULA:BOBOYE-5,36,0.58333331,28.611111,1,0,27418.5
ALPHAYZE DEY:KOSSEY:LOGA-1,70,0.44285715,32.214287,1,5,45191.5
ALZANA TOUMBO:ZOUZOU BERI:BOBOYE,53,0.6226415,31.037735,1,4,42076.5
ALZANNA FANDOU:TINOMA:BOBOYE-5,52,0.46153846,26.788462,1,3,41036.5
BABA KOIRA:LOGA:LOGA-2,115,0.52173913,29.765217,1,4,78060.5
BADARADEY:LOGA:LOGA-2,72,0.44444445,32.972221,0,6,45698
BADOKO:LOGA:LOGA-2,507,0.47140038,30.706114,0,29,367037.5
BAGANI:KOBODEYE:BOBOYE,49,0.48979592,31.346939,0,2,41811.5
BAKIR TOMBO:LOGA:LOGA-2,169,0.48520711,30.485207,1,11,123548.5
BAKIRI TCHIRE TOMBO:LOGA:LOGA-2,188,0.53723407,31.090425,1,10,130580.5
BAKO KO IRA:FANDOU:BOBOYE-2,57,0.45614034,30.421053,1,3,52640.5
BALEDEY DAGABA:LOGA:LOGA,66,0.62121212,29.075758,0,3,47893
BALI BALI:FABIDJI:BOBOYE-2,234,0.47008547,29.021368,1,15,149757
BALIDEY BABA DENI:LOGA:LOGA-2,125,0.50400001,29.903999,1,6,77853.5
BALIDEY WANZAMKOARA:LOGA:LOGA,88,0.40909091,32.238636,1,2,59826
BALLARE KOIRA TEGUI:KIOTA:BOBOYE-3,116,0.51724136,31.077587,1,3,86555
BALLARE KOIRA ZENO:KIOTA:BOBOYE-3,54,0.4074074,26.722221,1,3,43158.5
BALLAREY:TINOMA:BOBOYE-5,71,0.50704223,33.183098,0,2,62212.5
BAMEY:BAMEY:LOGA-1,371,0.53638816,32.067387,0,8,311756
BANGARIO BABA ZERMA:KOURINGUEL:BOBOYE-4,34,0.44117647,29.882353,0,1,37963.5
BANGARIO MOUSSA:KIOTA:BOBOYE-3,142,0.47183099,30.612677,1,13,105154
BANGARIO ZOU:KIOTA:BOBOYE-3,92,0.47826087,29.619566,0,3,69626
BANGOU BANDA:BOSSIA:BOBOYE-1,56,0.60714287,28.892857,0,3,41617
BANGOU KIREY BELLA:KOYGOLO:BOBOYE-4,81,0.45679012,29.592592,0,5,48254
BANGOU KOUKOU:KANKANDI:BOBOYE-3,297,0.4848485,29.441078,1,10,212105.5
BANGOU TCHISSA BENE:SABOULA:BOBOYE-5,72,0.5138889,29.666666,0,3,43943.5
BANGOUROUAL (FANDOU):FANDOU:BOBOYE-2,79,0.60759491,29.29114,1,3,62432
BANGOUROUAL:FANDOU:BOBOYE-2,98,0.59183675,32.561226,1,2,85845
BANI GOROU:LOGA:LOGA-2,67,0.61194032,34.119404,0,4,50836
BANI ZOUMBOU (BOUKI):BOUKI:LOGA-1,18,0.6111111,30.166666,0,0,15032
BANI ZOUMBOU (ZOUZOU SANEY):ZOUZOU SANEY:BOBOYE-5,69,0.52173913,30.072464,1,5,54011.5
BANIZOUMBOU (BIRNI):BIRNI:BOBOYE-1,146,0.56849313,30.698629,1,2,97137.5
BANIZOUMBOU (MOUSSADEY BERI):MOUSSADEY BERI:LOGA-2,156,0.55128205,31.77564,0,6,126330.5
BANIZOUMBOU (Samaridey):KOGOU:LOGA-1,101,0.42574257,29.861385,1,9,62354
BANIZOUMBOU (Toullou):TOULLOU MAIMASSA:LOGA-2,120,0.5,31.108334,0,11,76551.5
BARBE PEULH:TINOMA:BOBOYE-5,60,0.51666665,35.599998,1,3,37002.5
BARBE SIRE:TINOMA:BOBOYE-5,45,0.62222224,40,1,0,21694.5
BARBE TONGA KAINA:TINOMA:BOBOYE-5,81,0.5925926,34.160492,0,2,51547.5
BARDE GOROU BERI:TINOMA:BOBOYE-5,33,0.57575756,29.454546,1,2,31782.5
BARDE KOIRA TEGUI:TINOMA:BOBOYE-5,12,0.5,40.5,1,2,12141
BARDE OGGA:TINOMA:BOBOYE-5,64,0.484375,32.84375,0,5,43466.5
BARDE SENO:TINOMA:BOBOYE-5,58,0.63793105,34.931034,0,5,74597.5
BARKEL DABA:SABOULA:BOBOYE-5,165,0.53333336,28.20606,1,11,93184.5
BARKIRE KOIRA:KIOTA:BOBOYE-3,123,0.57723576,27.804878,1,2,88016.5
BASSAROU:MALLAN KOIRA:LOGA-2,81,0.46913579,32.407406,1,1,54157
BASSI ZARMA:BELANDE:BOBOYE-1,277,0.50902528,30.057762,0,21,180213.5
BATAMA BERI:BIRNI:BOBOYE-1,240,0.47916666,32.883335,1,7,135805.5
BATAMBERI:MALLAN KOIRA:LOGA-2,433,0.51732099,29.972286,1,22,297680.5
BATARA:ZOUZOU BERI:BOBOYE-5,18,0.66666669,31.5,0,2,14214
BATOURE (koira)DEY:BOUKI:LOGA-1,54,0.4074074,32.166668,0,8,49582
BAZIGUI GOROU:SARGADJI:LOGA-2,207,0.51207727,33.227055,0,7,165882.5
BELANDE DJERMA KAINA:BELANDE:BOBOYE-1,348,0.51724136,29.359196,0,8,227625
BELANDE PEULH:BELANDE:BOBOYE-1,51,0.43137255,31.137255,1,5,35115.5
BELANDE SILENKEY:BELANDE:BOBOYE-1,150,0.49333334,30.286667,1,4,91299.5
BELARE:GUILLADJE:BOBOYE-2,58,0.43103448,30.344828,0,2,49261
BELLA BERI KOARA:FALWEL:LOGA-1,105,0.47619048,32.771427,0,7,65567.5
BELLA KOIRA:KOURINGUEL:BOBOYE-4,151,0.48344371,32.178806,1,2,115730.5
BERE WINDI:LOGA:LOGA,134,0.46268657,31.179104,0,6,101269
BIGA TOUNGA:KOISSI:BOBOYE-4,51,0.4509804,32.901962,1,6,28935
BILLINGOL PEULH:FANDOU:BOBOYE-2,69,0.53623188,33.536232,0,3,54314
BILLINGOL ZARMA:FANDOU:BOBOYE-2,127,0.48818898,34.425198,1,8,87149.5
BILLO SINIDJE:KOBODEYE:BOBOYE-3,25,0.40000001,36.48,1,1,17056
BINGUEL BABA KOIRA:FABIDJI:BOBOYE-2,97,0.45360824,28.556702,0,7,48328
BIRNI KAINA:BIRNI:BOBOYE-1,29,0.82758623,34.586208,0,0,39853
BIRNIEL ALFARI:FANDOU:BOBOYE-2,145,0.48275861,27.924137,1,6,127276.5
BIRNIEL IBRAHIM:FABIDJI:BOBOYE-2,323,0.50154799,29.835913,1,9,204395
BIRNIEL KABADO:FABIDJI:BOBOYE-2,51,0.60784316,28.90196,1,4,27830
BOBIEL PEULH:HAOULAWAL:BOBOYE-3,70,0.52857143,30.171429,1,3,53602.5
BOGODJOTI:KOYGOLO:BOBOYE-4,48,0.64583331,34.020832,1,1,36938
BOGOL HIMA:HARIKANASSOU:BOBOYE-3,278,0.53597122,31.18705,0,13,224638.5
BOGOL MAMAR:HARIKANASSOU:BOBOYE-3,116,0.56896549,33.862068,1,3,88142
BOKIEL:FANDOU:BOBOYE-2,50,0.60000002,31.700001,1,0,34414.5
BOMBODJI:KOISSI:BOBOYE-4,98,0.47959185,26.367348,1,8,69494.5
BOMBOHI GANDA:FABIDJI:BOBOYE-2,60,0.41666666,31.316668,0,5,39645
